instance,noise,seed,cmax,delta_heldout__mitigated_only,win_legacy__mitigated_only,win_v2__mitigated_only,changed__mitigated_only,gap__mitigated_only,tie_practical__mitigated_only,tie_statistical__mitigated_only,mc_scale__mitigated_only,delta_heldout__incl_unmitigated,win_legacy__incl_unmitigated,win_v2__incl_unmitigated,changed__incl_unmitigated,gap__incl_unmitigated,tie_practical__incl_unmitigated,tie_statistical__incl_unmitigated,mc_scale__incl_unmitigated
path6,dev_lagos,12,5,0.008687449635315314,zne,rem,True,0.0018602461881339848,True,True,0.03231207900723157,0.008687449635315314,zne,rem,True,0.0018602461881339848,True,True,0.025038051578652566
path6,dev_lagos,13,5,0.015079053908753259,zne_rem,rem,True,0.004298299468738343,True,True,0.03231207900723157,0.015079053908753259,zne_rem,rem,True,0.004298299468738343,True,True,0.025038051578652566
path6,dev_lagos,14,5,0.0024836968027510398,zne,rem,True,0.00050909435543115,True,True,0.03231207900723157,0.0024836968027510398,zne,rem,True,0.00050909435543115,True,True,0.025038051578652566
path6,dev_lagos,15,5,-0.006014529917021938,zne,rem,True,0.012652731364057515,False,True,0.03231207900723157,-0.006014529917021938,zne,rem,True,0.012652731364057515,False,True,0.025038051578652566
path6,dev_lagos,16,5,-0.0014690904465507692,zne_rem,rem,True,0.006172854690541724,True,True,0.03231207900723157,-0.0014690904465507692,zne_rem,rem,True,0.006172854690541724,True,True,0.025038051578652566
path6,dev_lagos,17,5,-0.012527492649338811,rem,zne_rem,True,0.001645838142817907,True,True,0.03231207900723157,-0.012527492649338811,rem,zne_rem,True,0.001645838142817907,True,True,0.025038051578652566
path6,dev_lagos,18,5,-0.007506188326769203,zne,zne_rem,True,0.020997942023870182,False,True,0.03231207900723157,-0.007506188326769203,zne,zne_rem,True,0.020997942023870182,False,True,0.025038051578652566
path6,dev_lagos,19,5,0.0,zne_rem,zne_rem,False,0.011442954330040856,False,True,0.03231207900723157,0.0,zne_rem,zne_rem,False,0.011442954330040856,False,True,0.025038051578652566
path6,dev_lagos,20,5,-0.013658166509377128,zne_rem,rem,True,0.006122878185428749,True,True,0.03231207900723157,-0.013658166509377128,zne_rem,rem,True,0.006122878185428749,True,True,0.025038051578652566
path6,dev_lagos,21,5,0.0,zne_rem,zne_rem,False,0.0033453395989998026,True,True,0.03231207900723157,0.0,zne_rem,zne_rem,False,0.0033453395989998026,True,True,0.025038051578652566
path6,dev_lagos,22,5,-0.008666938213486441,zne_rem,rem,True,0.0019671035912306677,True,True,0.03231207900723157,-0.008666938213486441,zne_rem,rem,True,0.0019671035912306677,True,True,0.025038051578652566
path6,dev_lagos,23,5,0.0,zne_rem,zne_rem,False,0.006810077494458453,True,True,0.03231207900723157,0.0,zne_rem,zne_rem,False,0.006810077494458453,True,True,0.025038051578652566
path6,dev_lagos,24,5,0.0,rem,rem,False,0.007402655436909883,True,True,0.03231207900723157,0.0,rem,rem,False,0.007402655436909883,True,True,0.025038051578652566
